	 GFP9 -Oh- A	 GFP9 -Oh- B	 GFP9 -Oh- C	 M3-12 -Oh- A	 M3-12 -Oh- B	 M3-12 -Oh- C	 Me3-8 -Oh- A	 Me3-8 -Oh- B	 Me3-8 -Oh- C	 O2-9 -Oh- A	 O2-9 -Oh- B	 O2-9 -Oh- C
DEOXYGUANOSINE	2.41E-05	2.19E-05	3.25E-05	2.60E-05	3.58E-05	3.00E-05	3.05E-05	3.02E-05	2.55E-05	3.51E-05	2.55E-05	3.06E-05
NICOTINAMIDE MONONUCLEOTIDE	4.22E-05	3.93E-05	4.77E-05	3.33E-05	5.00E-05	4.35E-05	4.36E-05	2.68E-05	2.89E-04	4.73E-05	5.13E-05	5.25E-05
Glyceraldehyde 3-phosphate	2.04E-05	1.95E-05	2.48E-05	1.16E-05	1.10E-05	9.62E-06	2.47E-05	1.63E-05	1.77E-05	1.63E-05	1.31E-05	1.20E-05
THYMIDINE-MONOPHOSPHATE	4.38E-05	4.37E-05	6.00E-05	3.84E-05	4.37E-05	3.59E-05	5.03E-05	4.10E-05	6.68E-05	2.83E-05	2.92E-05	3.19E-05
Azelaic acid	1.60E-03	1.85E-03	2.27E-03	1.67E-03	2.84E-03	2.20E-03	2.30E-03	2.21E-03	2.14E-03	2.43E-03	2.33E-03	2.16E-03
AICAR	4.50E-07	1.76E-05	1.77E-05	6.00E-06	1.01E-05	9.75E-06	1.50E-05	9.53E-06	3.03E-05	1.36E-05	1.43E-05	1.47E-05
ETHANOLAMINE PHOSPHATE	2.40E-05	1.79E-05	2.14E-05	9.44E-06	9.66E-06	5.38E-07	1.12E-05	1.54E-05	7.13E-06	1.93E-05	1.12E-05	9.24E-06
O-PHOSPHOETHANOLAMINE	2.42E-05	1.79E-05	2.15E-05	9.44E-06	9.66E-06	5.38E-07	1.14E-05	1.54E-05	7.13E-06	1.93E-05	1.12E-05	9.24E-06
DEOXYCYTIDINE-DIPHOSPHATE	1.71E-05	1.78E-05	2.11E-05	9.15E-06	6.89E-07	1.99E-05	2.43E-05	1.75E-05	2.87E-05	6.91E-07	1.54E-05	5.79E-07
ERYTHROSE-4-PHOSPHATE	1.23E-05	1.61E-05	2.47E-05	9.88E-06	1.32E-05	8.12E-06	1.66E-05	1.99E-05	1.15E-05	2.66E-05	2.28E-05	1.92E-05
DIHYDROXYACETONEPHOSPHATE	2.09E-05	2.04E-05	2.51E-05	1.18E-05	1.11E-05	9.80E-06	2.55E-05	1.68E-05	1.83E-05	1.65E-05	1.31E-05	1.22E-05
DEOXYCYTIDINE MONOPHOSPHATE-1	2.24E-05	2.69E-05	3.00E-05	2.74E-05	3.00E-05	2.33E-05	3.54E-05	2.83E-05	3.06E-05	3.07E-05	3.39E-05	3.49E-05
GLUCOSAMINE 6-PHOSPHATE	5.55E-05	7.89E-05	7.28E-05	2.48E-05	3.16E-05	1.09E-05	4.62E-05	5.57E-05	2.53E-05	8.17E-05	7.93E-05	5.04E-05
PHOSPHOSERINE	7.60E-05	7.61E-05	1.14E-04	5.02E-05	5.52E-05	2.06E-05	4.30E-05	4.39E-05	1.87E-05	7.03E-05	6.03E-05	4.77E-05
6-Phosphonoglucono-D-lactone	5.50E-05	4.60E-05	6.04E-05	4.19E-05	6.18E-05	5.38E-07	7.50E-05	8.11E-05	5.40E-05	1.16E-04	1.13E-04	1.05E-04
SEDOHEPTULOSE-7-PHOSPHATE	1.30E-04	2.11E-04	2.23E-04	9.09E-05	1.07E-04	4.99E-05	2.77E-04	2.76E-04	1.48E-04	2.89E-04	2.71E-04	1.92E-04
6-PHOSPHOGLUCONATE	1.79E-04	2.69E-04	3.42E-04	2.04E-04	3.00E-04	1.72E-05	3.41E-04	3.76E-04	9.90E-05	3.68E-04	2.98E-04	2.55E-04
"Fructose 1,6-bisphosphate"	1.92E-04	2.08E-04	3.17E-04	2.73E-04	3.79E-04	5.38E-07	4.92E-04	5.58E-04	2.52E-04	5.57E-04	5.74E-04	4.57E-04
HYPOTAURINE	2.50E-04	3.43E-04	4.27E-04	1.87E-04	2.80E-04	1.04E-04	3.65E-04	5.22E-04	1.69E-04	7.20E-04	7.84E-04	4.38E-04
D-RIBOSE 5-PHOSPHATE	3.16E-04	4.69E-04	5.52E-04	3.20E-04	5.05E-04	2.26E-04	5.53E-04	5.39E-04	6.02E-04	6.56E-04	6.03E-04	5.67E-04
Ribose-5-phosphate	3.52E-04	4.98E-04	5.80E-04	3.31E-04	5.16E-04	2.34E-04	5.77E-04	5.56E-04	6.21E-04	6.83E-04	6.31E-04	5.82E-04
Xylulose-5-phosphate	3.58E-04	5.07E-04	5.88E-04	3.34E-04	5.21E-04	2.37E-04	5.90E-04	5.62E-04	6.27E-04	6.89E-04	6.45E-04	5.88E-04
RIBULOSE-5-PHOSPHATE	3.58E-04	5.07E-04	5.90E-04	3.34E-04	5.24E-04	2.40E-04	5.90E-04	5.62E-04	6.36E-04	6.90E-04	6.45E-04	5.93E-04
PHOSPHOCREATINE	1.09E-03	6.90E-04	5.80E-04	8.93E-04	4.99E-04	3.81E-04	1.01E-03	5.24E-04	4.58E-04	9.68E-04	5.12E-04	4.13E-04
VALINE	1.06E-03	6.99E-04	7.14E-04	1.01E-03	9.56E-04	8.78E-04	6.76E-04	5.96E-04	5.60E-04	7.99E-04	5.25E-04	6.22E-04
CYTIDINE MONOPHOSPHATE	7.01E-04	6.65E-04	7.86E-04	8.26E-04	9.07E-04	1.10E-03	1.04E-03	8.25E-04	1.25E-03	4.38E-04	4.73E-04	5.32E-04
GUANIDINOACETATE	4.99E-03	8.02E-03	7.64E-03	1.39E-03	1.48E-03	5.40E-04	1.72E-03	1.45E-03	4.62E-04	4.96E-04	4.59E-04	4.99E-04
NAD+	4.72E-03	5.10E-03	5.87E-03	5.29E-03	6.25E-03	8.39E-03	5.06E-03	5.29E-03	6.41E-03	4.90E-03	5.85E-03	5.29E-03
PALMITATE	7.50E-05	1.16E-04	1.38E-04	7.30E-05	1.34E-04	1.11E-04	1.57E-04	1.43E-04	1.39E-04	1.64E-04	1.26E-04	1.32E-04
URIDINE MONOPHOSPHATE	6.22E-05	2.59E-03	4.39E-03	2.82E-03	2.52E-03	3.92E-03	3.64E-03	2.07E-03	5.12E-03	2.91E-03	2.69E-03	3.49E-03
7-HYDROXYOCTANOATE DIMER	3.27E-05	5.28E-05	6.14E-05	4.88E-05	6.06E-05	4.74E-05	5.84E-05	5.16E-05	4.37E-05	5.04E-05	4.69E-05	4.99E-05
undecanedioic acid	2.57E-03	3.08E-03	3.98E-03	2.95E-03	4.51E-03	3.52E-03	4.19E-03	4.03E-03	3.54E-03	4.36E-03	3.95E-03	3.97E-03
7-HYDROXYOCTANOATE	6.98E-05	7.27E-05	1.20E-04	7.62E-05	1.23E-04	9.58E-05	1.12E-04	1.05E-04	1.04E-04	1.08E-04	1.12E-04	1.05E-04
DEOXYGUANOSINE-MONOPHOSPHATE	2.41E-05	7.00E-04	1.32E-03	1.03E-03	9.03E-04	1.00E-03	2.32E-03	1.27E-03	2.77E-03	7.04E-04	6.65E-04	8.78E-04
ADENOSINE-MONOPHOSPHATE	3.26E-03	1.72E-03	3.02E-03	3.04E-03	2.16E-03	2.64E-03	4.81E-03	2.99E-03	6.65E-03	1.59E-03	1.54E-03	1.94E-03
ADIPATE	1.72E-04	1.85E-04	2.44E-04	1.49E-04	2.61E-04	2.21E-04	2.37E-04	2.23E-04	2.09E-04	2.56E-04	2.03E-04	2.20E-04
4-HYDROXYBENZOATE	5.67E-06	2.28E-05	1.32E-05	1.00E-05	1.84E-05	1.53E-05	1.30E-05	1.41E-05	2.05E-05	1.13E-05	9.66E-06	2.06E-05
Octanoate	6.12E-06	6.78E-06	1.11E-05	7.83E-06	1.46E-05	7.09E-06	1.24E-05	1.14E-05	1.21E-05	1.38E-05	1.27E-05	9.42E-06
N-ACETYLPUTRESCINE	3.39E-05	4.58E-05	5.65E-05	2.27E-05	6.89E-07	2.56E-05	1.71E-05	1.18E-05	2.34E-05	1.44E-05	1.52E-05	1.69E-05
PHOSPHORYLCHOLINE	3.20E-02	7.40E-02	9.36E-02	7.78E-03	7.73E-03	2.99E-03	1.70E-02	1.71E-02	4.94E-03	3.12E-02	2.08E-02	1.56E-02
4-GUANIDINOBUTANOATE-2	6.65E-05	5.57E-05	6.75E-05	7.24E-05	9.29E-05	1.54E-04	9.00E-05	8.10E-05	1.26E-04	7.15E-05	8.70E-05	7.50E-05
SALICYLATE	2.02E-05	4.36E-05	5.57E-05	1.99E-05	5.17E-05	5.02E-05	4.46E-05	4.62E-05	4.49E-05	4.13E-05	4.92E-05	5.70E-05
6-CARBOXYHEXANOATE	3.94E-04	4.53E-04	5.62E-04	4.27E-04	6.39E-04	5.06E-04	5.86E-04	5.79E-04	4.81E-04	6.13E-04	5.68E-04	5.67E-04
GUANOSINE MONOPHOSPHATE	9.60E-05	8.05E-05	1.59E-04	1.11E-04	9.39E-05	1.16E-04	2.12E-04	1.27E-04	3.67E-04	8.53E-05	8.06E-05	1.23E-04
2-ETHYLOCTANEDIOATE	1.84E-03	2.15E-03	2.69E-03	1.99E-03	3.10E-03	2.52E-03	2.98E-03	2.60E-03	2.37E-03	2.94E-03	2.79E-03	2.65E-03
SEBACATE	1.84E-03	2.15E-03	2.69E-03	1.99E-03	3.10E-03	2.52E-03	2.98E-03	2.60E-03	2.37E-03	2.94E-03	2.79E-03	2.65E-03
"3,4-Dihydroxyhydrocinnamic acid"	1.27E-04	1.45E-04	1.13E-04	8.54E-05	9.56E-05	1.36E-04	6.62E-05	1.06E-04	9.17E-05	1.59E-04	2.38E-04	1.61E-04
GLUCURONATE	5.59E-05	4.60E-05	4.09E-05	4.85E-05	5.41E-05	1.35E-05	5.61E-05	6.53E-05	2.26E-05	6.84E-05	6.55E-05	4.25E-05
GALACTURONATE	5.54E-05	4.57E-05	4.07E-05	4.82E-05	5.36E-05	1.27E-05	5.59E-05	6.45E-05	2.17E-05	6.54E-05	6.43E-05	4.22E-05
AZELATE	1.61E-03	1.85E-03	2.28E-03	1.60E-03	2.79E-03	2.18E-03	2.24E-03	2.21E-03	2.11E-03	2.38E-03	2.29E-03	2.10E-03
SUBERATE	8.37E-04	9.41E-04	1.25E-03	9.04E-04	1.39E-03	1.02E-03	1.25E-03	1.28E-03	1.09E-03	1.34E-03	1.15E-03	1.22E-03
GLUTARATE	1.22E-04	1.19E-04	1.39E-04	1.12E-04	1.81E-04	1.77E-04	1.70E-04	1.67E-04	1.43E-04	1.97E-04	1.55E-04	1.51E-04
GLUTATHIONE REDUCED	1.00E-05	3.58E-05	5.31E-05	7.57E-05	1.08E-04	7.23E-05	2.59E-04	4.16E-04	3.04E-04	1.21E-04	2.03E-04	1.84E-04
PROPIONYLCHOLINE	3.69E-05	2.82E-05	3.80E-05	3.88E-05	4.89E-05	3.44E-05	4.94E-05	3.99E-05	3.33E-05	4.70E-05	4.12E-05	4.27E-05
ACETOIN	4.05E-05	4.32E-05	5.65E-05	4.50E-05	6.95E-05	6.01E-05	7.09E-05	5.66E-05	5.30E-05	5.43E-05	5.98E-05	5.71E-05
Dimethyl adipate	9.29E-04	1.04E-03	1.35E-03	9.90E-04	1.52E-03	1.11E-03	1.38E-03	1.41E-03	1.17E-03	1.47E-03	1.24E-03	1.31E-03
octanoylcarnitine	4.09E-05	3.09E-05	4.45E-05	4.59E-05	4.99E-05	5.81E-05	3.72E-05	4.30E-05	4.28E-05	4.54E-05	5.76E-05	4.05E-05
2-METHYLGLUTARATE	2.18E-04	2.45E-04	2.87E-04	2.04E-04	3.29E-04	3.16E-04	3.13E-04	2.64E-04	2.61E-04	3.23E-04	2.76E-04	2.82E-04
MONOMETHYLGLUTARATE	2.15E-04	2.42E-04	2.85E-04	2.22E-04	3.34E-04	3.13E-04	3.09E-04	2.63E-04	2.69E-04	3.26E-04	2.74E-04	2.79E-04
