Protein Id,Gene Symbol,Description,Group ID,Number of peptides,Collapsed?,GFP5-1 Sum,GFP5-2 Sum,GFP9-1 Sum,GFP9-2 Sum,Me2.14-1 Sum,Me2.14-2 Sum,Me3.8-1 Sum,Me3.8-2 Sum,O2.9-1 Sum,O2.9-2 Sum,O2.10-1 Sum
sp|A1A5B6|TBC25_MOUSE,Tbc1d25,TBC25_MOUSE TBC1 domain family member 25,1078,5,C,408.535,491.585,390.476,443.935,438.642,463.493,548.079,457.404,502.208,492.267,396.693
sp|A2A432|CUL4B_MOUSE,Cul4b,CUL4B_MOUSE Cullin-4B,1098,34,C,4605.38,3877.03,5052.17,4398.8,5442.71,5516.98,5037.04,5829.2,6188.15,6332.75,6693.01
sp|A2A4P0|DHX8_MOUSE,Dhx8,DHX8_MOUSE ATP-dependent RNA helicase DHX8,3832,12,C,1354.32,762.929,1444.6,1072.42,1521.98,1434.85,1233.66,1620.46,1201.67,1273.05,1801.48
sp|A2A559|PGAP3_MOUSE,Pgap3,PGAP3_MOUSE Post-GPI attachment to proteins factor 3,4727,1,C,40.1703,20.2235,49.0731,27.7447,33.5034,41.3826,27.5605,33.6613,33.877,37.2066,33.6089
sp|A2A5R2|BIG2_MOUSE,Arfgef2,BIG2_MOUSE Brefeldin A-inhibited guanine nucleotide-exchange protein 2,544,13,C,2721.28,2859.2,2514.11,2696.44,2694.9,2697.16,2435.61,2466.16,2695.17,2542.45,2954.75
sp|A2A5Z6|SMUF2_MOUSE,Smurf2,SMUF2_MOUSE E3 ubiquitin-protein ligase SMURF2,1410,7,C,484.977,344.998,502.431,396.931,518.727,517.877,500.559,610.871,542.564,593.533,715.27
sp|A2A690|TANC2_MOUSE,Tanc2,TANC2_MOUSE Protein TANC2,605,7,C,579.337,467.535,528.101,457.143,447.486,425.893,205.669,218.682,416.461,429.636,477.078
sp|A2A6A1|GPTC8_MOUSE,Gpatch8,GPTC8_MOUSE G patch domain-containing protein 8,1999,14,C,1632.55,1851,1647.56,1799.06,2031.3,2087.07,2004.88,1738.21,1707.24,1640.49,1369.67
sp|A2A6Q5|CDC27_MOUSE,Cdc27,CDC27_MOUSE Cell division cycle protein 27 homolog,1556,13,C,2216.08,1188.4,2339.15,1715.29,2152.31,2039.75,1703.14,2336.99,2004.37,2031.36,2384.69
sp|A2A6T1|CDR2L_MOUSE,Cdr2l,CDR2L_MOUSE Cerebellar degeneration-related protein 2-like,5659,3,C,277.518,311.583,279.663,322.969,544.171,493.426,466.29,445.428,291.315,283.291,463.822
sp|A2A791|ZMYM4_MOUSE,Zmym4,ZMYM4_MOUSE Zinc finger MYM-type protein 4,3299,11,C,991.645,718.274,987.341,809.941,1005.68,1004.01,761.276,866.079,878.65,887.641,699.847
sp|A2A7S8-2|K1522_MOUSE,Kiaa1522,K1522_MOUSE Isoform 2 of Uncharacterized protein KIAA1522,181,10,C,800.597,819.214,840.881,886.736,777.628,827.236,917.838,845.365,754.224,754.022,501.774
sp|A2A870|FBF1_MOUSE,Fbf1,FBF1_MOUSE Fas-binding factor 1,4953,1,C,52.3193,54.3707,58.7723,72.9138,77.9701,73.5919,65.7539,58.9779,59.9321,56.627,63.9156
sp|A2A8L5|PTPRF_MOUSE,Ptprf,PTPRF_MOUSE Receptor-type tyrosine-protein phosphatase F,1315,1,C,183.344,168.854,160.643,167.394,159.189,165.325,315.469,301.817,88.5585,85.3834,103.988
sp|A2A8Z1|OSBL9_MOUSE,Osbpl9,OSBL9_MOUSE Oxysterol-binding protein-related protein 9,3818,9,C,2010.17,2229.86,1983.37,2128.76,1612.99,1662.27,1698.12,1582.49,1572.31,1499.49,1127.61
sp|A2A9C3|SZT2_MOUSE,Szt2,SZT2_MOUSE Protein SZT2,4981,1,C,18.9448,16.0086,14.4003,17.566,19.7353,16.3528,18.8305,19.4404,17.0819,16.1805,18.8005
sp|A2AAY5|SPD2B_MOUSE,Sh3pxd2b,SPD2B_MOUSE SH3 and PX domain-containing protein 2B,466,24,C,5871.59,4725.41,5382.24,4605.4,4102.34,4277.84,2827.99,3170.17,4262.69,4239.55,3113.57
sp|A2ABV5|MED14_MOUSE,Med14,MED14_MOUSE Mediator of RNA polymerase II transcription subunit 14,4638,11,C,912.155,844.317,965.676,900.554,824.982,797.424,802.491,893.047,918.471,980.523,980.297
sp|A2ACJ2|FP100_MOUSE,Faap100,FP100_MOUSE Fanconi anemia-associated protein of 100 kDa,2393,3,C,84.9749,106.859,81.9779,96.1563,95.3175,99.0533,104.4,90.6192,115.748,115.693,85.2466
sp|A2ADY9|DDI2_MOUSE,Ddi2,DDI2_MOUSE Protein DDI1 homolog 2,3620,9,C,1534.3,1920.04,1166.13,1333.24,947.776,987.808,1553.82,1333.55,1275.1,1297.3,829.474
sp|A2AF47|DOC11_MOUSE,Dock11,DOC11_MOUSE Dedicator of cytokinesis protein 11,2399,13,C,1220.67,819.819,1317.31,1044.26,1133.96,1104.35,795.204,895.66,1270.89,1271.02,1072.52
sp|A2AG58|CX023_MOUSE,,CX023_MOUSE Uncharacterized protein CXorf23 homolog,3196,4,C,130.325,141.451,144.006,159.964,156.586,153.689,148.302,126.703,178.359,162.277,119.505
sp|A2AGH6|MED12_MOUSE,Med12,MED12_MOUSE Mediator of RNA polymerase II transcription subunit 12,196,18,C,1544.83,1447.26,1676.65,1601.35,1695.72,1752.05,1580.38,1763.7,1796.55,1758.63,1811.94
sp|A2AGL3|RYR3_MOUSE,Ryr3,RYR3_MOUSE Ryanodine receptor 3,2960,3,C,761.232,868.63,812.292,884.3,643.073,647.118,687.338,574.199,650.251,584.014,556.325
sp|A2AHC3|CAMP1_MOUSE,Camsap1,CAMP1_MOUSE Calmodulin-regulated spectrin-associated protein 1,25,17,C,2059.82,1051.78,2008.57,1409.03,1771.96,1709.99,1346.36,1836.21,1463.85,1568.76,1986.93
sp|A2AHG0|LZTS3_MOUSE,Lzts3,LZTS3_MOUSE Leucine zipper putative tumor suppressor 3,4283,1,C,685.852,856.597,528.028,646.89,446.28,506.418,418.975,356.85,436.04,421.642,270.342
sp|A2AI08|TPRN_MOUSE,Tprn,TPRN_MOUSE Taperin,5360,2,C,216.639,166.583,168.132,194.866,141.102,121.075,163.078,136.595,156.954,139.51,136.541
